cluster_id,signal_count,state_ratio,state_count,category_count,source_count,source_type_count,span_hours,burstiness,has_state,has_trusted,is_mixed,label,label_source,label_confidence,hostile_narrative,operation,is_state_origin
5128,2,0.0,0,0,2,1,0.85,-1.0,0,0,0,unlabeled,unlabeled,0,,,False
5129,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5130,2,0.0,0,0,2,1,2.61,-1.0,0,0,0,unlabeled,unlabeled,0,,,True
5131,3,0.0,0,0,3,1,24.18,-0.177,0,0,0,unlabeled,unlabeled,0,,,False
5132,2,0.0,0,1,2,1,100.61,-1.0,0,1,0,unlabeled,unlabeled,0,,,False
5133,2,0.0,0,0,2,1,0.0,-1.0,0,0,0,unlabeled,unlabeled,0,,,False
5134,4,0.0,0,0,4,1,4.0,0.004,0,0,0,unlabeled,unlabeled,0,,,False
5135,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5136,2,0.0,0,0,2,1,24.22,-1.0,0,0,0,unlabeled,unlabeled,0,,,False
5137,2,0.5,1,1,2,1,107.2,-1.0,1,0,0,unlabeled,unlabeled,0,,,True
5139,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5140,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5141,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5142,15,0.2667,4,2,5,1,324.7,0.1279,1,1,1,unlabeled,unlabeled,0,,,True
5143,11,0.0,0,4,4,3,217.76,0.0972,0,1,0,unlabeled,unlabeled,0,,,False
5144,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5145,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5146,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5147,12,0.0,0,4,4,2,261.82,0.2671,0,1,0,unlabeled,unlabeled,0,,,False
5148,5,0.0,0,0,5,2,22.81,0.1049,0,0,0,unlabeled,unlabeled,0,,,False
5149,6,0.0,0,0,4,1,29.48,0.2789,0,0,0,unlabeled,unlabeled,0,,,False
5150,6,0.0,0,0,5,2,3.37,-0.07,0,0,0,unlabeled,unlabeled,0,,,True
5151,3,0.0,0,0,3,2,23.09,-0.095,0,0,0,unlabeled,unlabeled,0,,,False
5152,15,0.2,3,2,5,2,85.63,0.2644,1,1,1,unlabeled,unlabeled,0,,,False
5153,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5154,4,0.0,0,1,2,1,79.45,-0.1475,0,1,0,unlabeled,unlabeled,0,,,False
5155,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5156,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5157,3,0.0,0,0,3,1,4.75,-0.0681,0,0,0,unlabeled,unlabeled,0,,,False
5158,3,0.6667,2,1,2,1,46.86,-0.6134,1,0,0,unlabeled,unlabeled,0,,,True
5159,13,0.5385,7,2,2,1,262.34,-0.1824,1,1,1,unlabeled,unlabeled,0,,,True
5160,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5161,4,0.0,0,3,2,1,242.69,-0.0764,0,1,0,unlabeled,unlabeled,0,,,False
5162,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5163,4,0.0,0,2,3,1,117.53,0.1615,0,1,0,unlabeled,unlabeled,0,,,False
5164,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5165,3,0.0,0,0,2,1,23.6,-0.5275,0,0,0,unlabeled,unlabeled,0,,,False
5166,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5167,4,0.0,0,0,1,1,0.81,-0.3562,0,0,0,unlabeled,unlabeled,0,,,False
5168,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5169,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5170,2,0.5,1,1,2,2,207.34,-1.0,1,0,0,unlabeled,unlabeled,0,,,True
5171,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5172,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5173,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5174,4,0.25,1,2,2,2,60.14,-0.1652,1,1,1,unlabeled,unlabeled,0,,,False
5175,2,0.0,0,0,2,1,0.86,-1.0,0,0,0,unlabeled,unlabeled,0,,,False
5176,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5177,2,0.0,0,1,2,1,40.61,-1.0,0,1,0,unlabeled,unlabeled,0,,,False
5178,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5179,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5180,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5181,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5182,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5183,3,0.0,0,0,2,2,9.56,-0.9212,0,0,0,unlabeled,unlabeled,0,,,True
5184,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5185,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5186,7,0.1429,1,1,4,2,214.17,0.2617,1,0,0,unlabeled,unlabeled,0,,,True
5187,4,0.0,0,1,3,2,37.74,-0.4584,0,1,0,unlabeled,unlabeled,0,,,False
5188,2,0.0,0,0,1,1,24.27,-1.0,0,0,0,unlabeled,unlabeled,0,,,True
5189,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5190,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5191,8,0.375,3,1,2,2,264.81,0.2009,1,0,0,clean,framing_analysis,0.7,,,True
5192,8,0.75,6,1,3,1,130.88,0.172,1,0,0,unlabeled,unlabeled,0,,,True
5193,5,0.2,1,1,4,3,82.79,-0.0981,1,0,0,unlabeled,unlabeled,0,,,False
5194,2,0.0,0,0,2,1,0.16,-1.0,0,0,0,unlabeled,unlabeled,0,,,True
5195,15,0.0,0,0,13,2,6.69,0.1287,0,0,0,unlabeled,unlabeled,0,,,False
5196,8,0.0,0,0,2,1,72.7,-0.0623,0,0,0,unlabeled,unlabeled,0,,,True
5197,2,0.0,0,0,1,1,6.32,-1.0,0,0,0,unlabeled,unlabeled,0,,,False
5198,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5199,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5200,15,0.0,0,4,4,2,207.33,-0.0327,0,1,0,unlabeled,unlabeled,0,,,False
5201,4,0.0,0,0,4,1,2.38,-0.1904,0,0,0,unlabeled,unlabeled,0,,,False
5202,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5203,3,0.3333,1,1,2,1,189.1,-0.2512,1,0,0,unlabeled,unlabeled,0,,,True
5204,3,0.0,0,1,2,1,6.98,0.0,0,1,0,unlabeled,unlabeled,0,,,False
5205,7,0.0,0,4,4,1,25.7,0.0492,0,1,0,unlabeled,unlabeled,0,,,False
5206,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5207,7,0.2857,2,2,5,1,8.74,0.1124,1,1,1,unlabeled,unlabeled,0,,,True
5208,8,0.0,0,0,4,1,4.45,0.0619,0,0,0,unlabeled,unlabeled,0,,,True
5209,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5210,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5211,2,0.0,0,0,2,2,15.85,-1.0,0,0,0,unlabeled,unlabeled,0,,,True
5212,5,0.0,0,1,3,1,252.92,0.1165,0,1,0,unlabeled,unlabeled,0,,,False
5213,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5214,4,0.75,3,1,2,1,75.17,-0.0786,1,0,0,unlabeled,unlabeled,0,,,True
5215,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5216,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5217,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5218,3,0.0,0,1,3,1,28.37,-0.1009,0,1,0,unlabeled,unlabeled,0,,,False
5219,2,0.0,0,0,2,1,11.92,-1.0,0,0,0,unlabeled,unlabeled,0,,,False
5220,2,0.0,0,1,2,1,169.7,-1.0,0,1,0,unlabeled,unlabeled,0,,,False
5221,2,0.0,0,0,2,1,0.72,-1.0,0,0,0,unlabeled,unlabeled,0,,,True
5222,2,0.5,1,1,2,1,50.86,-1.0,1,0,0,unlabeled,unlabeled,0,,,True
5223,4,0.0,0,0,3,1,1.3,-0.5586,0,0,0,unlabeled,unlabeled,0,,,True
5224,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5225,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5226,3,0.0,0,0,2,2,2.53,-0.093,0,0,0,unlabeled,unlabeled,0,,,True
5227,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5228,2,0.0,0,0,2,2,0.33,-1.0,0,0,0,unlabeled,unlabeled,0,,,True
5229,15,0.2667,4,1,8,2,4.22,0.0682,1,0,0,unlabeled,unlabeled,0,,,True
5230,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5231,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5232,6,0.0,0,0,2,2,2.71,0.1115,0,0,0,unlabeled,unlabeled,0,,,False
5233,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5234,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5235,2,0.0,0,0,1,2,24.05,-1.0,0,0,0,unlabeled,unlabeled,0,,,False
5236,9,0.3333,3,3,3,2,171.94,0.3599,1,1,1,unlabeled,unlabeled,0,,,True
5237,12,0.25,3,3,2,2,23.4,0.2679,1,1,1,clean,framing_analysis,0.7,,,True
5238,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5239,2,0.5,1,1,2,1,7.96,-1.0,1,0,0,unlabeled,unlabeled,0,,,True
5240,3,0.3333,1,1,3,2,3.73,-0.1264,1,0,0,unlabeled,unlabeled,0,,,True
5241,2,0.0,0,0,2,1,26.2,-1.0,0,0,0,unlabeled,unlabeled,0,,,True
5242,3,0.0,0,2,2,1,66.51,-0.189,0,1,0,unlabeled,unlabeled,0,,,False
5243,15,0.7333,11,1,4,1,80.48,0.2991,1,0,0,unlabeled,unlabeled,0,,,True
5244,2,0.5,1,1,2,1,170.36,-1.0,1,0,0,unlabeled,unlabeled,0,,,True
5245,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5246,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5247,7,0.0,0,0,6,3,106.59,0.1432,0,0,0,unlabeled,unlabeled,0,,,False
5248,2,0.0,0,0,1,1,0.82,-1.0,0,0,0,unlabeled,unlabeled,0,,,True
5249,3,0.0,0,2,2,2,112.47,-0.2543,0,1,0,unlabeled,unlabeled,0,,,False
5250,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5251,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5252,3,0.0,0,1,3,2,2.35,0.0,0,1,0,unlabeled,unlabeled,0,,,False
5253,6,0.3333,2,1,5,2,24.96,0.3179,1,0,0,unlabeled,unlabeled,0,,,True
5254,3,0.0,0,1,3,1,4.7,0.0,0,1,0,unlabeled,unlabeled,0,,,False
5255,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5256,2,0.5,1,1,2,1,51.25,-1.0,1,0,0,unlabeled,unlabeled,0,,,True
5257,2,0.0,0,0,2,1,1.41,-1.0,0,0,0,unlabeled,unlabeled,0,,,False
5258,4,0.0,0,0,3,1,5.57,-0.3095,0,0,0,unlabeled,unlabeled,0,,,True
5259,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5260,2,0.0,0,0,1,1,0.0,-1.0,0,0,0,unlabeled,unlabeled,0,,,False
5261,2,0.5,1,1,2,1,69.45,-1.0,1,0,0,unlabeled,unlabeled,0,,,True
5262,2,0.0,0,0,2,1,47.12,-1.0,0,0,0,unlabeled,unlabeled,0,,,False
5263,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5264,8,0.125,1,6,2,1,170.25,0.3099,1,1,1,clean,framing_analysis,0.7,,,False
5265,11,0.0,0,2,2,2,102.65,0.2174,0,1,0,unlabeled,unlabeled,0,,,False
5266,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5267,4,0.0,0,0,1,1,29.89,-0.1519,0,0,0,unlabeled,unlabeled,0,,,False
5268,15,0.0,0,0,10,2,49.61,0.3786,0,0,0,clean,framing_analysis,0.7,,,False
5269,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5270,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5271,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5272,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5273,5,0.0,0,2,1,1,100.21,0.0444,0,1,0,unlabeled,unlabeled,0,,,False
5274,2,0.0,0,1,2,1,295.05,-1.0,0,1,0,unlabeled,unlabeled,0,,,False
5275,3,0.0,0,0,0,1,88.77,-0.9785,0,0,0,unlabeled,unlabeled,0,,,False
5276,3,0.6667,2,1,2,1,242.27,0.0,1,0,0,unlabeled,unlabeled,0,,,True
5277,3,0.0,0,0,1,2,1.25,-0.1201,0,0,0,unlabeled,unlabeled,0,,,False
5278,6,0.1667,1,4,2,2,99.44,0.0744,1,1,1,clean,framing_analysis,0.8,,,False
5279,2,0.5,1,1,2,2,41.36,-1.0,1,0,0,unlabeled,unlabeled,0,,,True
5280,2,0.5,1,1,2,1,0.0,-1.0,1,0,0,unlabeled,unlabeled,0,,,True
5281,15,0.8,12,1,4,2,346.63,0.2232,1,0,0,unlabeled,unlabeled,0,,,True
5282,2,0.0,0,1,2,1,0.0,-1.0,0,1,0,unlabeled,unlabeled,0,,,False
5283,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5284,1,0.0,0,0,0,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5285,11,0.0,0,1,0,1,139.75,0.0383,0,1,0,unlabeled,unlabeled,0,,,False
5286,8,0.0,0,0,6,1,53.4,0.3447,0,0,0,unlabeled,unlabeled,0,,,True
5287,2,0.0,0,1,2,1,0.0,-1.0,0,1,0,unlabeled,unlabeled,0,,,False
5288,11,0.0,0,0,0,1,55.75,0.2021,0,0,0,unlabeled,unlabeled,0,,,False
5289,3,0.0,0,0,0,1,64.5,-0.7793,0,0,0,unlabeled,unlabeled,0,,,False
5290,2,0.0,0,0,0,1,27.9,-1.0,0,0,0,unlabeled,unlabeled,0,,,False
5291,2,0.0,0,0,0,1,52.81,-1.0,0,0,0,unlabeled,unlabeled,0,,,False
5292,2,0.0,0,1,2,1,0.0,-1.0,0,1,0,unlabeled,unlabeled,0,,,False
5293,10,0.0,0,1,0,1,179.5,0.2673,0,1,0,unlabeled,unlabeled,0,,,False
5294,2,0.0,0,1,2,1,0.0,-1.0,0,1,0,unlabeled,unlabeled,0,,,False
5295,15,0.0,0,1,2,2,100.0,-0.0063,0,1,0,unlabeled,unlabeled,0,,,False
5296,2,0.5,1,1,2,1,0.0,-1.0,1,0,0,unlabeled,unlabeled,0,,,True
5297,2,0.0,0,1,2,1,0.0,-1.0,0,1,0,unlabeled,unlabeled,0,,,False
5298,2,0.0,0,1,2,1,0.0,-1.0,0,1,0,unlabeled,unlabeled,0,,,False
5299,4,0.0,0,1,3,1,21.9,0.1716,0,1,0,unlabeled,unlabeled,0,,,False
5300,5,0.0,0,0,0,1,88.51,-0.0453,0,0,0,unlabeled,unlabeled,0,,,False
5301,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5302,2,0.0,0,1,2,1,0.0,-1.0,0,1,0,unlabeled,unlabeled,0,,,False
5303,1,0.0,0,0,0,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5304,7,0.0,0,1,2,2,94.58,0.0006,0,1,0,unlabeled,unlabeled,0,,,False
5305,2,0.0,0,1,2,1,0.0,-1.0,0,1,0,unlabeled,unlabeled,0,,,False
5306,2,0.0,0,1,2,1,0.0,-1.0,0,1,0,unlabeled,unlabeled,0,,,False
5307,3,0.0,0,2,2,1,45.93,0.0,0,1,0,unlabeled,unlabeled,0,,,False
5308,2,0.0,0,1,2,1,0.0,-1.0,0,1,0,unlabeled,unlabeled,0,,,False
5309,1,0.0,0,0,0,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5310,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5311,5,0.0,0,2,2,1,95.75,0.1284,0,1,0,unlabeled,unlabeled,0,,,False
5312,2,0.0,0,1,2,1,0.0,-1.0,0,1,0,unlabeled,unlabeled,0,,,False
5313,4,0.5,2,1,3,2,51.05,0.1293,1,0,0,unlabeled,unlabeled,0,,,True
5314,3,0.0,0,0,0,1,101.25,-0.0227,0,0,0,unlabeled,unlabeled,0,,,False
5315,1,0.0,0,0,0,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5316,2,0.0,0,1,2,1,0.0,-1.0,0,1,0,unlabeled,unlabeled,0,,,False
5317,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5318,15,0.9333,14,2,1,1,174.17,0.182,1,1,1,unlabeled,unlabeled,0,,,True
5319,1,1.0,1,1,1,1,0,0,1,0,0,unlabeled,unlabeled,0,,,
5320,3,0.0,0,0,1,1,1.9,-0.4479,0,0,0,unlabeled,unlabeled,0,,,True
5321,1,0.0,0,0,0,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5322,2,0.5,1,1,2,1,45.44,-1.0,1,0,0,unlabeled,unlabeled,0,,,True
5323,4,0.0,0,1,3,1,1.07,0.1716,0,1,0,unlabeled,unlabeled,0,,,False
5324,1,0.0,0,0,0,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5325,1,0.0,0,1,1,1,0,0,0,1,0,unlabeled,unlabeled,0,,,
5326,1,0.0,0,1,1,1,0,0,0,1,0,unlabeled,unlabeled,0,,,
5327,1,0.0,0,0,0,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5328,15,0.2,3,2,7,3,268.75,0.3312,1,1,1,clean,framing_analysis,0.7,,,True
5329,1,1.0,1,1,1,1,0,0,1,0,0,unlabeled,unlabeled,0,,,
5330,4,0.0,0,0,0,1,25.16,-0.0345,0,0,0,unlabeled,unlabeled,0,,,False
5331,1,0.0,0,0,0,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5332,4,0.0,0,0,1,1,39.82,-0.0871,0,0,0,unlabeled,unlabeled,0,,,False
5333,14,0.7857,11,2,1,1,244.42,0.1923,1,1,1,unlabeled,unlabeled,0,,,True
5334,3,0.0,0,2,2,1,16.54,-0.0787,0,1,0,unlabeled,unlabeled,0,,,False
5335,1,0.0,0,1,1,1,0,0,0,1,0,unlabeled,unlabeled,0,,,
5336,3,0.0,0,0,0,1,23.79,-0.0008,0,0,0,unlabeled,unlabeled,0,,,False
5337,2,0.0,0,1,2,1,0.0,-1.0,0,1,0,unlabeled,unlabeled,0,,,False
5338,2,0.0,0,1,2,1,0.0,-1.0,0,1,0,unlabeled,unlabeled,0,,,False
5339,2,0.0,0,1,2,1,0.0,-1.0,0,1,0,unlabeled,unlabeled,0,,,False
5341,4,0.25,1,2,1,2,172.41,-0.1712,1,1,1,unlabeled,unlabeled,0,,,True
5342,1,1.0,1,1,1,1,0,0,1,0,0,unlabeled,unlabeled,0,,,
5343,15,0.0667,1,5,4,2,35.46,0.1757,1,1,1,clean,framing_analysis,0.7,,,False
5344,2,0.0,0,1,2,1,0.0,-1.0,0,1,0,unlabeled,unlabeled,0,,,False
5345,1,0.0,0,1,1,1,0,0,0,1,0,unlabeled,unlabeled,0,,,
5346,7,0.0,0,2,2,1,114.97,0.1231,0,1,0,unlabeled,unlabeled,0,,,False
5347,2,0.0,0,0,0,1,66.33,-1.0,0,0,0,unlabeled,unlabeled,0,,,False
5348,7,0.0,0,1,2,1,120.18,-0.1426,0,1,0,unlabeled,unlabeled,0,,,False
5349,1,0.0,0,1,1,1,0,0,0,1,0,unlabeled,unlabeled,0,,,
5350,4,0.0,0,2,2,1,158.05,0.1622,0,1,0,unlabeled,unlabeled,0,,,False
5351,3,0.0,0,2,2,1,68.57,0.0,0,1,0,unlabeled,unlabeled,0,,,False
5352,14,0.7143,10,2,4,1,248.25,0.3366,1,1,1,unlabeled,unlabeled,0,,,True
5353,1,0.0,0,1,1,1,0,0,0,1,0,unlabeled,unlabeled,0,,,
5354,2,0.5,1,1,2,1,0.0,-1.0,1,0,0,unlabeled,unlabeled,0,,,True
5355,3,1.0,3,1,1,1,64.01,-0.0211,1,0,0,unlabeled,unlabeled,0,,,True
5356,3,0.6667,2,1,2,1,95.97,-0.3326,1,0,0,unlabeled,unlabeled,0,,,True
5357,1,0.0,0,0,0,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5358,6,0.0,0,0,0,1,1.5,-0.0143,0,0,0,unlabeled,unlabeled,0,,,False
5359,2,0.0,0,0,0,1,12.0,-1.0,0,0,0,unlabeled,unlabeled,0,,,False
5360,2,0.5,1,1,2,1,0.0,-1.0,1,0,0,unlabeled,unlabeled,0,,,True
5361,9,0.1111,1,1,2,3,31.75,0.0899,1,0,0,unlabeled,unlabeled,0,,,False
5362,7,0.0,0,1,0,1,171.5,0.0652,0,1,0,unlabeled,unlabeled,0,,,False
5363,14,0.9286,13,1,2,1,337.58,0.0307,1,0,0,unlabeled,unlabeled,0,,,True
5364,4,0.0,0,0,0,1,99.5,-0.157,0,0,0,unlabeled,unlabeled,0,,,False
5365,15,0.0,0,0,0,1,75.25,-0.0523,0,0,0,unlabeled,unlabeled,0,,,False
5366,1,1.0,1,1,1,1,0,0,1,0,0,unlabeled,unlabeled,0,,,
5367,1,1.0,1,1,1,1,0,0,1,0,0,unlabeled,unlabeled,0,,,
5368,5,0.2,1,1,1,2,107.25,-0.1776,1,0,0,unlabeled,unlabeled,0,,,False
5369,15,0.0,0,0,0,1,96.0,0.2251,0,0,0,unlabeled,unlabeled,0,,,False
5370,1,1.0,1,1,1,1,0,0,1,0,0,unlabeled,unlabeled,0,,,
5371,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5372,11,0.0,0,1,0,1,232.75,0.0851,0,1,0,unlabeled,unlabeled,0,,,False
5373,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5374,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5375,15,0.9333,14,2,1,1,137.86,-0.0949,1,1,1,unlabeled,unlabeled,0,,,True
5376,5,0.0,0,1,2,1,276.7,0.2168,0,1,0,unlabeled,unlabeled,0,,,False
5377,3,0.0,0,3,1,1,33.85,-0.4297,0,1,0,unlabeled,unlabeled,0,,,False
5378,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5379,2,0.0,0,0,0,1,4.5,-1.0,0,0,0,unlabeled,unlabeled,0,,,False
5380,2,0.0,0,0,1,1,0.74,-1.0,0,0,0,unlabeled,unlabeled,0,,,False
5381,6,0.0,0,2,1,2,198.71,0.256,0,1,0,unlabeled,unlabeled,0,,,False
5382,15,0.0,0,0,0,1,36.0,0.2277,0,0,0,unlabeled,unlabeled,0,,,False
5383,2,0.0,0,0,0,1,36.0,-1.0,0,0,0,unlabeled,unlabeled,0,,,False
5384,3,0.0,0,0,0,1,80.0,-0.0492,0,0,0,unlabeled,unlabeled,0,,,False
5385,4,0.0,0,0,0,1,4.25,0.1716,0,0,0,unlabeled,unlabeled,0,,,False
5386,9,0.0,0,0,0,1,92.75,0.1294,0,0,0,unlabeled,unlabeled,0,,,False
5387,1,0.0,0,0,0,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5388,2,0.0,0,0,0,1,24.05,-1.0,0,0,0,unlabeled,unlabeled,0,,,False
5389,2,0.0,0,0,0,1,150.57,-1.0,0,0,0,unlabeled,unlabeled,0,,,False
5390,3,0.0,0,2,2,1,147.3,0.0,0,1,0,unlabeled,unlabeled,0,,,False
