code,confidence,tagged_by,created_at
N1,0.7,llmd,2026-03-18 08:20:06.988474+00
N1,0.7,llmd,2026-03-18 08:20:40.893821+00
N5,0.8,llmd,2026-03-18 08:20:47.751644+00
N4,0.8,llmd,2026-03-18 09:20:07.633607+00
N2,0.7,llmd,2026-03-18 09:20:34.130318+00
N4,0.75,llmd,2026-03-18 09:40:04.140831+00
N1,0.8,llmd,2026-03-18 09:50:18.915297+00
N4,0.7,llmd,2026-03-18 09:50:18.924523+00
N1,0.8,llmd,2026-03-18 10:30:05.121758+00
N1,0.7,llmd,2026-03-18 10:50:29.050548+00
N5,0.8,llmd,2026-03-18 11:00:04.918365+00
N4,0.7,llmd,2026-03-18 11:10:26.957023+00
N5,0.7,llmd,2026-03-18 11:20:19.526976+00
N1,0.8,llmd,2026-03-18 11:30:03.818748+00
N5,0.7,llmd,2026-03-18 11:40:25.659456+00
N5,0.7,llmd,2026-03-18 11:40:25.665976+00
N2,0.7,llmd,2026-03-18 12:00:08.950155+00
N4,0.7,llmd,2026-03-18 12:00:08.969166+00
N5,0.7,llmd,2026-03-18 12:00:12.773517+00
N2,0.8,llmd,2026-03-18 12:00:35.214059+00
N2,0.8,llmd,2026-03-18 12:00:35.221933+00
N4,0.75,llmd,2026-03-18 13:00:46.07352+00
N4,0.7,llmd,2026-03-18 13:10:03.909566+00
N4,0.75,llmd,2026-03-18 13:20:41.416834+00
N4,0.75,llmd,2026-03-18 13:20:41.42038+00
N4,0.75,llmd,2026-03-18 13:20:41.421663+00
N2,0.8,llmd,2026-03-18 13:20:53.595929+00
N2,0.7,llmd,2026-03-18 13:20:53.598044+00
N1,0.75,llmd,2026-03-18 13:21:01.593272+00
N5,0.8,llmd,2026-03-18 13:21:07.352237+00
N5,0.8,llmd,2026-03-18 13:21:07.355417+00
N5,0.75,llmd,2026-03-18 13:21:07.363801+00
N5,0.8,llmd,2026-03-18 13:30:03.808638+00
N4,0.7,llmd,2026-03-18 14:10:22.002939+00
N5,0.7,llmd,2026-03-18 14:11:35.877771+00
N1,0.7,llmd,2026-03-18 14:20:04.494261+00
N3,0.8,llmd,2026-03-18 14:30:03.802646+00
N4,0.7,llmd,2026-03-18 14:50:08.146826+00
N1,0.8,llmd,2026-03-18 15:00:04.527628+00
N1,0.8,llmd,2026-03-18 15:00:04.538317+00
N1,0.8,llmd,2026-03-18 18:00:04.716494+00
N5,0.7,llmd,2026-03-18 18:00:04.733706+00
N5,0.8,llmd,2026-03-18 18:10:05.240704+00
N4,0.7,llmd,2026-03-18 18:10:05.253647+00
N5,0.8,llmd,2026-03-18 18:10:05.256594+00
N1,0.7,llmd,2026-03-18 18:20:14.635166+00
N1,0.8,llmd,2026-03-18 18:30:05.060367+00
N5,0.7,llmd,2026-03-18 18:30:05.064066+00
N1,0.85,llmd,2026-03-18 18:30:05.065982+00
N4,0.7,llmd,2026-03-18 18:30:37.491862+00
N1,0.7,llmd,2026-03-18 19:00:04.99552+00
N4,0.75,llmd,2026-03-18 19:20:22.346817+00
N4,0.7,llmd,2026-03-18 19:40:04.500854+00
N1,0.75,llmd,2026-03-18 19:40:55.252375+00
N1,0.7,llmd,2026-03-18 19:40:55.261226+00
N1,0.7,llmd,2026-03-18 22:00:11.894289+00
N4,0.75,llmd,2026-03-18 23:30:18.172266+00
N1,0.8,llmd,2026-03-19 02:00:04.126781+00
N5,0.7,llmd,2026-03-19 02:00:04.13047+00
N2,0.7,llmd,2026-03-19 02:40:18.348586+00
N4,0.8,llmd,2026-03-19 04:10:33.858189+00
N1,0.9,llmd,2026-03-19 05:50:03.853549+00
N2,0.75,llmd,2026-03-19 06:40:04.629585+00
N4,0.8,llmd,2026-03-19 07:00:06.981516+00
N5,0.7,llmd,2026-03-19 07:20:25.039067+00
N1,0.8,llmd,2026-03-19 07:30:04.108684+00
N4,0.7,llmd,2026-03-19 07:30:04.112903+00
N4,0.8,llmd,2026-03-19 07:50:10.527815+00
N5,0.7,llmd,2026-03-19 08:00:59.024456+00
N2,0.75,llmd,2026-03-19 09:10:56.547281+00
N4,0.7,llmd,2026-03-19 09:10:56.55818+00
N4,0.8,llmd,2026-03-19 09:30:04.807461+00
N4,0.8,llmd,2026-03-19 10:00:17.104935+00
N4,0.7,llmd,2026-03-19 10:00:30.269111+00
N3,0.7,llmd,2026-03-19 11:40:04.957804+00
N5,0.7,llmd,2026-03-19 11:40:04.966905+00
N5,0.75,llmd,2026-03-15 05:00:25.602526+00
N4,0.75,llmd,2026-03-15 05:20:26.387102+00
N2,0.75,llmd,2026-03-15 05:20:30.850093+00
N5,0.75,llmd,2026-03-15 05:20:53.667129+00
N5,0.8,llmd,2026-03-17 08:11:04.448254+00
N5,0.7,llmd,2026-03-17 08:11:04.452228+00
N5,0.7,llmd,2026-03-17 08:20:39.335204+00
N4,0.8,llmd,2026-03-18 04:40:30.247524+00
N1,0.8,llmd,2026-03-18 06:30:05.386652+00
N5,0.7,llmd,2026-03-18 06:30:05.399462+00
N2,0.7,llmd,2026-03-18 06:30:12.361817+00
N1,0.8,llmd,2026-03-18 08:30:07.900752+00
N4,0.8,llmd,2026-03-18 08:30:24.130165+00
N4,0.8,llmd,2026-03-18 08:30:31.779412+00
N4,0.75,llmd,2026-03-18 08:30:31.782925+00
N4,0.8,llmd,2026-03-18 09:30:05.049667+00
N4,0.85,llmd,2026-03-18 09:30:05.054131+00
N3,0.75,llmd,2026-03-18 09:30:05.056123+00
N1,0.8,llmd,2026-03-18 10:00:04.480857+00
N1,0.8,llmd,2026-03-18 10:00:08.189326+00
N4,0.75,llmd,2026-03-18 10:00:26.619077+00
N4,0.8,llmd,2026-03-18 10:00:26.626984+00
N4,0.7,llmd,2026-03-18 10:40:19.267127+00
N4,0.7,llmd,2026-03-18 10:40:19.272634+00
N5,0.7,llmd,2026-03-18 10:40:22.811116+00
N1,0.8,llmd,2026-03-18 12:10:11.258101+00
N1,0.8,llmd,2026-03-18 12:10:11.264314+00
N1,0.8,llmd,2026-03-18 12:10:11.266231+00
N4,0.8,llmd,2026-03-18 12:10:24.622083+00
N1,0.8,llmd,2026-03-18 12:20:04.486681+00
N4,0.7,llmd,2026-03-18 12:20:08.49021+00
N4,0.7,llmd,2026-03-18 12:20:15.604814+00
N4,0.7,llmd,2026-03-18 12:20:26.53316+00
N5,0.7,llmd,2026-03-18 12:20:26.53537+00
N4,0.75,llmd,2026-03-18 12:30:04.965928+00
N2,0.8,llmd,2026-03-18 12:30:04.967936+00
N4,0.7,llmd,2026-03-18 12:30:04.969566+00
N1,0.8,llmd,2026-03-18 12:30:37.770616+00
N4,0.7,llmd,2026-03-18 13:40:14.050646+00
N1,0.8,llmd,2026-03-18 14:00:41.112298+00
N5,0.75,llmd,2026-03-18 14:21:25.02613+00
N4,0.7,llmd,2026-03-18 15:00:59.524762+00
N1,0.7,llmd,2026-03-18 18:01:04.431594+00
N5,0.7,llmd,2026-03-18 18:01:27.205039+00
N1,0.8,llmd,2026-03-18 20:00:22.152771+00
N2,0.75,llmd,2026-03-18 22:30:08.155747+00
N4,0.8,llmd,2026-03-18 23:50:18.25535+00
N4,0.8,llmd,2026-03-19 02:20:14.466949+00
N1,0.8,llmd,2026-03-19 06:00:03.261246+00
N5,0.7,llmd,2026-03-19 06:00:04.093827+00
N1,0.8,llmd,2026-03-19 06:00:17.761181+00
N4,0.8,llmd,2026-03-19 06:00:23.812268+00
N4,0.8,llmd,2026-03-19 08:00:04.724915+00
N4,0.8,llmd,2026-03-19 08:00:11.651632+00
N4,0.8,llmd,2026-03-19 08:00:28.280188+00
N2,0.7,llmd,2026-03-19 08:10:08.223577+00
N4,0.75,llmd,2026-03-19 08:10:27.541805+00
N2,0.8,llmd,2026-03-19 08:10:31.492158+00
N4,0.75,llmd,2026-03-19 10:01:03.362055+00
N2,0.8,llmd,2026-03-19 10:10:04.028368+00
N4,0.7,llmd,2026-03-19 11:40:04.97189+00
N4,0.7,llmd,2026-03-19 11:40:23.024928+00
N4,0.8,llm,2026-03-12 23:27:35.182442+00
N3,0.75,llmd,2026-03-15 05:41:06.22025+00
N3,0.8,llmd,2026-03-15 05:41:06.225523+00
N1,0.8,llmd,2026-03-17 08:30:04.555173+00
N5,0.75,llmd,2026-03-17 08:40:33.491008+00
N4,0.7,llmd,2026-03-18 07:00:07.216964+00
N4,0.7,llmd,2026-03-18 08:40:04.080934+00
N4,0.7,llmd,2026-03-18 08:40:18.745919+00
N1,0.7,llmd,2026-03-18 12:30:37.760721+00
N2,0.7,llmd,2026-03-18 13:40:34.378093+00
N5,0.8,llmd,2026-03-18 13:40:38.456792+00
N5,0.7,llmd,2026-03-18 13:40:38.46016+00
N5,0.7,llmd,2026-03-18 13:40:38.462201+00
N4,0.8,llmd,2026-03-18 13:50:36.52876+00
N1,0.8,llmd,2026-03-18 14:00:09.081163+00
N1,0.8,llmd,2026-03-18 14:00:09.084253+00
N1,0.7,llmd,2026-03-18 14:00:12.488335+00
N5,0.8,llmd,2026-03-18 15:30:04.373029+00
N4,0.75,llmd,2026-03-18 15:30:04.378036+00
N2,0.8,llmd,2026-03-18 20:10:52.527722+00
N2,0.75,llm,2026-03-12 23:27:44.537741+00
N3,0.8,llm,2026-03-12 23:27:44.541399+00
N5,0.7,llmd,2026-03-18 20:10:52.5309+00
N5,0.7,llmd,2026-03-19 00:00:09.586324+00
N4,0.7,llmd,2026-03-19 06:30:03.788518+00
N2,0.8,llmd,2026-03-19 06:30:03.796737+00
N5,0.7,llmd,2026-03-19 06:30:03.80015+00
N2,0.75,llmd,2026-03-19 08:30:08.52696+00
N1,0.7,llmd,2026-03-19 08:30:15.180053+00
N2,0.75,llmd,2026-03-19 08:40:04.587244+00
N5,0.7,llmd,2026-03-19 08:40:04.589969+00
N4,0.7,llmd,2026-03-19 08:40:04.594138+00
N5,0.7,llmd,2026-03-19 08:40:04.607369+00
N4,0.7,llmd,2026-03-19 08:40:33.608253+00
N1,0.8,llmd,2026-03-19 10:20:04.019972+00
N4,0.75,llmd,2026-03-19 10:30:40.331286+00
N4,0.8,llmd,2026-03-19 12:00:04.6259+00
N1,0.75,llmd,2026-03-19 12:00:04.633455+00
N1,0.8,llmd,2026-03-19 12:00:08.615398+00
N1,0.8,llmd,2026-03-19 12:00:08.617104+00
N4,0.75,llm,2026-03-12 23:27:54.028077+00
N3,0.8,llm,2026-03-12 23:27:54.030112+00
N1,0.8,llmd,2026-03-19 12:00:33.096311+00
N4,0.8,llmd,2026-03-19 12:10:09.832534+00
N4,0.8,llmd,2026-03-19 12:10:18.67264+00
N4,0.8,llmd,2026-03-19 12:10:18.674823+00
N4,0.8,llmd,2026-03-19 12:20:16.131267+00
N2,0.8,llmd,2026-03-19 12:20:24.963561+00
N4,0.7,llmd,2026-03-19 12:20:24.96743+00
N1,0.8,llmd,2026-03-19 13:00:04.723208+00
N5,0.7,llmd,2026-03-19 13:10:26.425522+00
N5,0.8,llmd,2026-03-19 14:00:07.89297+00
N1,0.7,llmd,2026-03-19 14:00:26.40298+00
N2,0.7,llmd,2026-03-19 14:00:26.40527+00
N1,0.8,llmd,2026-03-19 14:00:31.867406+00
N1,0.8,llmd,2026-03-19 15:00:04.777138+00
N4,0.75,llmd,2026-03-19 15:00:09.034658+00
N5,0.8,llmd,2026-03-19 15:20:07.6568+00
N5,0.75,llmd,2026-03-19 16:30:03.984864+00
N5,0.7,llmd,2026-03-19 16:30:30.793124+00
N1,0.8,llmd,2026-03-19 17:00:03.902708+00
N4,0.7,llmd,2026-03-19 17:00:03.907523+00
N2,0.8,llmd,2026-03-19 17:20:38.110178+00
N5,0.7,llmd,2026-03-19 17:30:05.039839+00
N5,0.7,llmd,2026-03-19 17:30:05.042355+00
N4,0.7,llmd,2026-03-19 17:30:05.043787+00
N5,0.75,llmd,2026-03-19 18:00:24.527714+00
N2,0.7,llmd,2026-03-19 18:00:24.534629+00
N5,0.75,llmd,2026-03-19 18:30:04.160954+00
N1,0.9,llmd,2026-03-19 19:30:04.299351+00
N1,0.8,llmd,2026-03-19 19:30:04.302416+00
N5,0.7,llmd,2026-03-19 19:30:18.970293+00
N1,0.75,llmd,2026-03-19 19:30:18.97327+00
N1,0.8,llmd,2026-03-19 20:00:04.694492+00
N5,0.8,llmd,2026-03-19 20:00:15.31262+00
N5,0.7,llmd,2026-03-19 20:00:22.94658+00
N4,0.7,llmd,2026-03-19 20:10:07.839129+00
N4,0.8,llmd,2026-03-19 20:10:07.84241+00
N1,0.75,llmd,2026-03-19 20:10:18.91983+00
N5,0.7,llmd,2026-03-19 20:20:04.18969+00
N1,0.9,llmd,2026-03-19 20:30:05.132843+00
N4,0.7,llmd,2026-03-19 20:40:21.404937+00
N4,0.7,llmd,2026-03-20 01:40:26.333453+00
N4,0.75,llmd,2026-03-20 01:50:38.835559+00
N5,0.7,llmd,2026-03-20 05:20:33.307416+00
N2,0.7,llmd,2026-03-20 06:10:05.362247+00
N2,0.8,llmd,2026-03-20 06:10:05.365746+00
N2,0.8,llmd,2026-03-20 06:10:05.367875+00
N2,0.8,llmd,2026-03-20 06:10:05.371174+00
N1,0.8,llmd,2026-03-20 06:10:16.214142+00
N1,0.8,llmd,2026-03-20 06:10:20.035972+00
N1,0.8,llmd,2026-03-20 06:30:04.228282+00
N4,0.7,llmd,2026-03-20 07:20:31.476499+00
N5,0.75,llmd,2026-03-20 07:50:10.877639+00
N3,0.7,llmd,2026-03-20 08:00:05.750673+00
N4,0.7,llmd,2026-03-20 08:00:05.753346+00
N4,0.8,llmd,2026-03-20 08:00:09.67426+00
N5,0.7,llmd,2026-03-20 08:00:18.530041+00
N5,0.8,llmd,2026-03-20 08:00:18.537436+00
N1,0.8,llmd,2026-03-20 08:00:25.990337+00
N1,0.75,llmd,2026-03-20 08:00:30.351884+00
N4,0.7,llmd,2026-03-20 08:00:30.35381+00
N4,0.75,llmd,2026-03-20 08:10:18.684754+00
N1,0.8,llmd,2026-03-20 08:10:26.520042+00
N1,0.8,llmd,2026-03-20 08:30:25.17391+00
N4,0.7,llmd,2026-03-20 08:40:07.583117+00
N1,0.8,llmd,2026-03-20 09:00:04.276913+00
N1,0.8,llmd,2026-03-20 10:00:13.1616+00
N2,0.75,llmd,2026-03-20 10:00:17.066337+00
N1,0.7,llmd,2026-03-20 10:00:27.900758+00
N4,0.7,llmd,2026-03-20 10:10:04.458421+00
N5,0.7,llmd,2026-03-20 11:00:23.507757+00
N4,0.7,llmd,2026-03-20 11:30:29.445717+00
N4,0.7,llmd,2026-03-20 11:40:04.474672+00
N4,0.7,llmd,2026-03-20 11:50:19.355303+00
N4,0.7,llmd,2026-03-20 11:50:43.234963+00
N2,0.8,llmd,2026-03-20 11:51:01.214581+00
N1,0.8,llmd,2026-03-20 12:00:27.474656+00
N4,0.75,llmd,2026-03-20 12:00:27.477138+00
N4,0.8,llm,2026-03-12 23:27:36.531832+00
N4,0.85,llm,2026-03-12 23:27:36.540936+00
N2,0.88,llm,2026-03-12 23:27:36.552303+00
N2,0.75,llmd,2026-03-15 06:00:11.375634+00
N5,0.75,llmd,2026-03-15 06:20:48.37484+00
N3,0.75,llmd,2026-03-15 07:00:05.111952+00
N2,0.7,llmd,2026-03-17 08:40:53.371151+00
N3,0.75,llmd,2026-03-17 09:00:04.562751+00
N3,0.75,llmd,2026-03-17 09:00:04.566583+00
N4,0.7,llmd,2026-03-17 09:00:04.568497+00
N4,0.7,llmd,2026-03-18 12:40:29.138206+00
N2,0.8,llmd,2026-03-18 13:00:04.31724+00
N4,0.75,llmd,2026-03-18 13:00:08.145464+00
N4,0.75,llmd,2026-03-18 13:00:08.149222+00
N2,0.75,llmd,2026-03-18 15:31:05.398365+00
N4,0.8,llmd,2026-03-18 20:20:18.710357+00
N1,0.8,llmd,2026-03-18 20:30:15.596975+00
N5,0.7,llmd,2026-03-18 20:30:15.599925+00
N4,0.8,llmd,2026-03-19 10:30:04.713813+00
N4,0.7,llmd,2026-03-19 10:40:08.765627+00
N1,0.8,llm,2026-03-12 23:27:47.607081+00
N1,0.85,llm,2026-03-12 23:27:47.609348+00
N4,0.7,llmd,2026-03-19 12:01:00.557198+00
N1,0.7,llmd,2026-03-19 14:11:25.830971+00
N4,0.7,llmd,2026-03-19 14:11:25.841055+00
N2,0.8,llmd,2026-03-19 14:20:12.296378+00
N2,0.8,llmd,2026-03-19 14:20:12.298263+00
N2,0.8,llmd,2026-03-19 14:20:12.299962+00
N4,0.8,llmd,2026-03-19 14:20:20.406898+00
N2,0.7,llmd,2026-03-19 14:30:31.15229+00
N4,0.8,llmd,2026-03-19 15:00:52.948434+00
N4,0.8,llmd,2026-03-19 15:00:52.951122+00
N5,0.7,llmd,2026-03-19 16:40:49.24778+00
N1,0.8,llmd,2026-03-19 16:50:04.107497+00
N4,0.7,llmd,2026-03-19 18:00:36.675816+00
N1,0.7,llmd,2026-03-19 18:00:36.680494+00
N1,0.7,llmd,2026-03-19 18:10:11.708271+00
N5,0.8,llmd,2026-03-19 18:10:27.120035+00
N4,0.7,llmd,2026-03-19 18:20:14.902373+00
N4,0.7,llmd,2026-03-19 18:20:14.905367+00
N5,0.7,llmd,2026-03-19 18:20:26.114109+00
N1,0.7,llmd,2026-03-19 18:20:32.947243+00
N2,0.7,llmd,2026-03-19 18:40:04.462684+00
N2,0.7,llmd,2026-03-19 18:50:04.442614+00
N2,0.7,llmd,2026-03-19 18:50:04.450345+00
N5,0.7,llmd,2026-03-19 18:50:11.606846+00
N4,0.75,llm,2026-03-12 23:48:37.448675+00
N5,0.7,llmd,2026-03-20 01:50:23.256678+00
N5,0.75,llmd,2026-03-20 05:30:03.461331+00
N4,0.7,llmd,2026-03-20 06:30:04.230741+00
N3,0.75,llmd,2026-03-20 09:30:04.566639+00
N2,0.75,llm,2026-03-12 23:48:55.922008+00
N4,0.8,llmd,2026-03-20 09:30:04.572206+00
N5,0.75,llmd,2026-03-20 09:50:30.892255+00
N1,0.8,llmd,2026-03-20 10:30:04.73698+00
N2,0.7,llmd,2026-03-20 10:30:04.740908+00
N2,0.8,llmd,2026-03-20 10:40:10.984012+00
N5,0.7,llmd,2026-03-20 10:50:38.696482+00
N1,0.75,llm:pipeline,2026-03-20 11:40:02.954938+00
N3,0.7,llm:pipeline,2026-03-20 11:40:02.959775+00
N4,0.75,llm:pipeline,2026-03-20 11:40:04.110111+00
N1,0.8,llm:pipeline,2026-03-20 12:00:01.724537+00
N4,0.75,llm:pipeline,2026-03-20 12:00:01.730936+00
N2,0.8,llm:pipeline,2026-03-20 12:00:02.974509+00
N1,0.8,llm,2026-03-12 23:49:53.270684+00
N1,0.75,llm,2026-03-12 23:49:53.2748+00
N4,0.75,llm:pipeline,2026-03-20 12:10:02.23009+00
N5,0.75,llm:pipeline,2026-03-20 14:10:02.872528+00
N5,0.75,llm:pipeline,2026-03-20 14:10:04.506621+00
N1,0.8,llm,2026-03-12 23:50:12.742578+00
N1,0.8,llm,2026-03-12 23:50:30.941284+00
N2,0.8,llm,2026-03-12 23:52:12.927091+00
N1,0.8,llm,2026-03-12 23:28:03.889127+00
N4,0.75,llmd,2026-03-15 07:20:06.706124+00
N1,0.8,llmd,2026-03-15 07:20:06.71281+00
N4,0.75,llmd,2026-03-15 07:41:10.132798+00
N5,0.75,llmd,2026-03-15 08:00:59.66464+00
N4,0.75,llmd,2026-03-15 08:01:00.661911+00
N4,0.75,llmd,2026-03-15 08:01:03.700895+00
N1,0.7,llmd,2026-03-17 09:30:27.164308+00
N4,0.7,llmd,2026-03-18 15:40:03.949907+00
N5,0.75,llmd,2026-03-18 15:40:29.520632+00
N5,0.7,llmd,2026-03-18 15:50:08.384758+00
N1,0.8,llmd,2026-03-18 16:00:45.233488+00
N1,0.8,llmd,2026-03-18 16:00:45.235498+00
N5,0.8,llm,2026-03-12 23:47:08.187755+00
N1,0.7,llmd,2026-03-18 20:21:01.180526+00
N4,0.75,llm,2026-03-12 23:47:08.19228+00
N4,0.8,llmd,2026-03-19 11:00:03.696905+00
N1,0.9,llm,2026-03-12 23:47:18.847657+00
N5,0.85,llm,2026-03-12 23:47:18.850113+00
N3,0.75,llm,2026-03-12 23:47:18.85165+00
N1,0.7,llmd,2026-03-19 11:00:03.705803+00
N1,0.7,llmd,2026-03-19 12:30:04.619882+00
N2,0.7,llmd,2026-03-19 12:30:08.603167+00
N2,0.8,llmd,2026-03-19 12:40:23.184374+00
N2,0.8,llmd,2026-03-19 12:40:23.186499+00
N4,0.8,llmd,2026-03-19 12:50:05.200743+00
N4,0.75,llmd,2026-03-19 12:50:27.049235+00
N1,0.75,llmd,2026-03-19 15:11:07.227432+00
N4,0.7,llmd,2026-03-19 15:20:37.720847+00
N1,0.8,llmd,2026-03-19 15:30:25.869815+00
N4,0.75,llmd,2026-03-19 18:40:38.673559+00
N1,0.75,llm,2026-03-12 23:47:25.524326+00
N2,0.85,llm,2026-03-12 23:47:25.526674+00
N2,0.9,llm,2026-03-12 23:47:25.535307+00
N4,0.85,llm,2026-03-12 23:47:25.538975+00
N5,0.7,llmd,2026-03-20 02:10:09.813185+00
N1,0.8,llmd,2026-03-20 05:50:04.697309+00
N4,0.7,llmd,2026-03-20 05:50:04.701982+00
N2,0.8,llmd,2026-03-20 06:00:08.386802+00
N1,0.7,llmd,2026-03-20 06:00:08.397789+00
N2,0.8,llmd,2026-03-20 06:00:15.326082+00
N1,0.8,llmd,2026-03-20 06:00:18.466221+00
N5,0.7,llmd,2026-03-20 06:00:18.468225+00
N4,0.7,llmd,2026-03-20 06:40:13.294371+00
N1,0.7,llmd,2026-03-20 12:10:07.734544+00
N1,0.7,llmd,2026-03-20 12:10:07.739489+00
N1,0.7,llmd,2026-03-20 12:10:11.824183+00
N1,0.75,llmd,2026-03-20 12:10:29.141562+00
N1,0.75,llmd,2026-03-20 12:10:29.146133+00
N4,0.7,llmd,2026-03-20 12:20:19.536897+00
N4,0.7,llmd,2026-03-20 12:20:19.539554+00
N1,0.75,llm:pipeline,2026-03-20 18:10:02.974684+00
N1,0.75,llm:pipeline,2026-03-20 21:50:02.462051+00
N2,0.75,llm:pipeline,2026-03-21 12:00:03.079567+00
N5,0.8,llm,2026-03-12 21:54:40.13564+00
N4,0.75,llm,2026-03-12 21:54:40.142871+00
N4,0.8,llm,2026-03-12 21:54:40.146913+00
N5,0.75,llm:pipeline,2026-03-21 13:20:03.172879+00
N4,0.7,llm:pipeline,2026-03-21 14:10:01.651679+00
N1,0.8,llm:pipeline,2026-03-21 14:30:01.756373+00
eu_disunity_weakness,0.8,llm:pipeline:v2,2026-03-21 15:50:03.100776+00
sanctions_are_ineffective,0.8,llm:pipeline:v2,2026-03-21 15:50:05.402369+00
russia_superior,0.8,llm:pipeline:v2,2026-03-21 16:00:03.182669+00
ukraine_state_failure,0.8,llm:pipeline:v2,2026-03-21 16:10:02.204324+00
eu_weakness_disunity,0.75,llm:pipeline:v2,2026-03-21 16:10:02.208939+00
eu_energy_crisis,0.8,llm:pipeline:v2,2026-03-21 16:10:02.213879+00
ukraine_nazism_terrorism,0.8,llm:pipeline:v2,2026-03-21 16:10:02.215302+00
ukraine_state_failure,0.8,llm:pipeline:v2,2026-03-21 16:10:03.763869+00
eu_sanctions_harm_eu,0.8,llm:pipeline:v2,2026-03-21 16:10:05.116992+00
eu_energy_crisis,0.8,llm:pipeline:v2,2026-03-21 16:10:06.130003+00
N1,0.8,llm,2026-03-12 23:47:38.35135+00
N5,0.75,llm,2026-03-12 23:47:38.355517+00
N2,0.85,llm,2026-03-12 23:47:38.357185+00
N2,0.8,llm,2026-03-12 23:47:38.369433+00
N3,0.75,llm,2026-03-12 23:47:38.377986+00
N5,0.8,llm,2026-03-12 23:47:42.929585+00
N4,0.75,llmd,2026-03-15 08:21:04.893786+00
N1,0.75,llmd,2026-03-17 10:00:13.304319+00
N4,0.75,llm,2026-03-12 21:54:58.113239+00
N1,0.7,llmd,2026-03-17 10:00:17.361849+00
N2,0.75,llmd,2026-03-18 15:41:04.941399+00
N1,0.7,llmd,2026-03-18 16:00:11.237767+00
N5,0.8,llmd,2026-03-18 16:00:30.892493+00
N4,0.75,llmd,2026-03-19 15:40:05.095281+00
N4,0.8,llmd,2026-03-19 15:40:05.103008+00
N1,0.8,llmd,2026-03-19 15:40:05.104965+00
N2,0.75,llmd,2026-03-19 15:40:05.107468+00
N5,0.7,llmd,2026-03-19 15:40:05.110892+00
N4,0.7,llmd,2026-03-19 15:50:05.561671+00
N5,0.7,llmd,2026-03-19 15:50:05.567601+00
N4,0.7,llmd,2026-03-19 15:50:16.598802+00
N4,0.7,llmd,2026-03-19 16:00:05.17971+00
N4,0.7,llmd,2026-03-19 16:00:09.208667+00
N3,0.7,llmd,2026-03-19 16:00:09.210658+00
N4,0.7,llmd,2026-03-19 16:00:12.977701+00
N1,0.8,llmd,2026-03-19 19:00:03.827274+00
N1,0.8,llmd,2026-03-19 19:00:03.82966+00
N5,0.7,llmd,2026-03-19 19:00:03.83708+00
N4,0.8,llmd,2026-03-19 19:10:58.046298+00
N5,0.7,llmd,2026-03-20 06:40:40.214382+00
N1,0.8,llmd,2026-03-20 12:10:57.598121+00
ukraine_failed_state,0.8,llm:pipeline:v2,2026-03-21 16:20:05.929182+00
N3,0.75,llm,2026-03-12 21:55:09.876198+00
